
=== Sort: DEFAULT ===
1. POST BRIDGE (Ask: 1420690, Mult: 3.675161168088108, Rev30d: 32213.78, Rank: 178, Growth: 66.65164684343155)
3. MyClaw.host (Ask: 39000, Mult: 0.7922771263499183, Rev30d: 4102.1, Rank: 1052, Growth: 524.3683409436835)
4. Cattus AI (Ask: 34000, Mult: 1.2367055286451967, Rev30d: 2291.0331260807357, Rank: 1085, Growth: 657.2812502572286)
5. Virlo (Ask: 1000000, Mult: 4.556784368406903, Rev30d: 18287.75, Rank: 180, Growth: 23.59577519427)
6. AppAlchemy (Ask: 75000, Mult: 0.585929626570643, Rev30d: 10666.81, Rank: 210, Growth: 9.101165082504904)
7. GalleryWall (Ask: 60000, Mult: 2.217973570626932, Rev30d: 2254.31, Rank: 1251, Growth: 0)
8. Mockupia (Ask: 5000, Mult: 5.496196631930704, Rev30d: 75.81, Rank: 1269, Growth: 57.31479560074706)
9. PxlSafe - Tools for Video Editors (Ask: 85000, Mult: 1.1851579188069226, Rev30d: 5976.7, Rank: 424, Growth: -34.42128293638864)
10. GojiberryAI (Ask: 11149999, Mult: 5.991632153880755, Rev30d: 155077.37448994027, Rank: 132, Growth: 65.57232687944065)

=== Sort: &sort=multiple-asc ===
1. Flowtion (Ask: 10000, Mult: null, Rev30d: 0, Rank: 1412, Growth: 0)
2. QueIA.es (Ask: 3500, Mult: null, Rev30d: 0, Rank: 2708, Growth: 0)
3. MakerBox (Ask: 4000, Mult: null, Rev30d: 0, Rank: 2190, Growth: 0)
4. PeachCalendar (Ask: null, Mult: null, Rev30d: 0, Rank: 1348, Growth: 0)
5. GuavaTeam (Ask: null, Mult: null, Rev30d: 20, Rank: 2214, Growth: 0)
6. Fcksubscription (Ask: 25000, Mult: null, Rev30d: 0, Rank: 1480, Growth: -100)
7. GrapeLink (Ask: null, Mult: null, Rev30d: 8, Rank: 2412, Growth: 0)
8. MangoForm (Ask: null, Mult: null, Rev30d: 0, Rank: 963, Growth: -58.82507212168895)
9. UnlimitedTales (Ask: 5000, Mult: null, Rev30d: 0, Rank: 2877, Growth: -100)
10. FreeMatch (Ask: 9000, Mult: null, Rev30d: 0, Rank: 1075, Growth: -100)

=== Sort: &sort=growth-asc ===
1. BYOKChat (Ask: 500, Mult: null, Rev30d: 0, Rank: null, Growth: null)
2. Ailliot (Ask: 1500, Mult: null, Rev30d: 0, Rank: null, Growth: null)
3. AuditMyVibes (Ask: 500, Mult: 1.1370339933846016, Rev30d: 36.645049232554406, Rank: 3266, Growth: null)
4. Klixo (Ask: 3000, Mult: null, Rev30d: 0, Rank: null, Growth: null)
5. Klixsor (Ask: 1200, Mult: null, Rev30d: 0, Rank: null, Growth: null)
6. Holospark (Ask: 3600, Mult: 30, Rev30d: 10, Rank: 3704, Growth: null)
7. Formzen (Ask: 1200, Mult: 5.555555555555555, Rev30d: 18, Rank: 3548, Growth: null)
8. PiqoAi (Ask: null, Mult: null, Rev30d: 1.25, Rank: 4018, Growth: null)
9. Clause Pilot AI - AI Lawyer (Ask: 25000, Mult: null, Rev30d: 0, Rank: null, Growth: null)
10. LeadMRR (Ask: 1499, Mult: null, Rev30d: 0, Rank: null, Growth: null)
